scenario_id,system,c1_asserted_facts,c2_inferred_facts,c3_violated_policy,c4_decision_reason,c5_reconstructable,total_score
read_public_allowed,rdf_owl_shacl,1,1,0,0,1,3
read_public_allowed,opa_set,1,0,0,0,0,1
read_public_allowed,opa_derived,1,0,0,0,1,2
restart_active_incident,rdf_owl_shacl,1,1,1,1,1,5
restart_active_incident,opa_set,1,0,1,1,0,3
restart_active_incident,opa_derived,1,0,1,1,1,4
restart_allowed,rdf_owl_shacl,1,1,0,0,1,3
restart_allowed,opa_set,1,0,0,0,0,1
restart_allowed,opa_derived,1,0,0,0,1,2
restart_break_glass_allowed,rdf_owl_shacl,1,1,1,1,1,5
restart_break_glass_allowed,opa_set,1,0,1,1,0,3
restart_break_glass_allowed,opa_derived,1,0,1,1,1,4
restart_break_glass_expired,rdf_owl_shacl,1,1,1,1,1,5
restart_break_glass_expired,opa_set,1,0,1,1,0,3
restart_break_glass_expired,opa_derived,1,0,1,1,1,4
restart_customer_facing,rdf_owl_shacl,1,1,1,1,1,5
restart_customer_facing,opa_set,1,0,1,1,0,3
restart_customer_facing,opa_derived,1,0,1,1,1,4
restart_denied,rdf_owl_shacl,1,1,1,1,1,5
restart_denied,opa_set,1,0,1,1,0,3
restart_denied,opa_derived,1,0,1,1,1,4
restart_dev_allowed,rdf_owl_shacl,1,1,0,0,1,3
restart_dev_allowed,opa_set,1,0,0,0,0,1
restart_dev_allowed,opa_derived,1,0,0,0,1,2
restart_in_maintenance_allowed,rdf_owl_shacl,1,1,0,0,1,3
restart_in_maintenance_allowed,opa_set,1,0,0,0,0,1
restart_in_maintenance_allowed,opa_derived,1,0,0,0,1,2
restart_new_prod_server,rdf_owl_shacl,1,1,1,1,1,5
restart_new_prod_server,opa_set,1,0,1,1,0,3
restart_new_prod_server,opa_derived,1,0,1,1,1,4
restart_staging_allowed,rdf_owl_shacl,1,1,0,0,1,3
restart_staging_allowed,opa_set,1,0,0,0,0,1
restart_staging_allowed,opa_derived,1,0,0,0,1,2
skill_admin_tool_review,rdf_owl_shacl,1,1,1,1,1,5
skill_admin_tool_review,opa_set,1,0,1,1,0,3
skill_admin_tool_review,opa_derived,1,0,1,1,1,4
skill_credential_harvester_denied,rdf_owl_shacl,1,1,1,1,1,5
skill_credential_harvester_denied,opa_set,1,0,1,1,0,3
skill_credential_harvester_denied,opa_derived,1,0,1,1,1,4
skill_finance_write_bundled_review,rdf_owl_shacl,1,1,1,1,1,5
skill_finance_write_bundled_review,opa_set,1,0,1,1,0,3
skill_finance_write_bundled_review,opa_derived,1,0,1,1,1,4
skill_hidden_exfil_denied,rdf_owl_shacl,1,1,1,1,1,5
skill_hidden_exfil_denied,opa_set,1,0,1,1,0,3
skill_hidden_exfil_denied,opa_derived,1,0,1,1,1,4
skill_postload_denied,rdf_owl_shacl,1,1,1,1,1,5
skill_postload_denied,opa_set,1,0,1,1,0,3
skill_postload_denied,opa_derived,1,0,1,1,1,4
skill_preload_review,rdf_owl_shacl,1,1,1,1,1,5
skill_preload_review,opa_set,1,0,1,1,0,3
skill_preload_review,opa_derived,1,0,1,1,1,4
skill_prompt_injector_denied,rdf_owl_shacl,1,1,1,1,1,5
skill_prompt_injector_denied,opa_set,1,0,1,1,0,3
skill_prompt_injector_denied,opa_derived,1,0,1,1,1,4
skill_safe_read_allowed,rdf_owl_shacl,1,1,0,0,1,3
skill_safe_read_allowed,opa_set,1,0,0,0,0,1
skill_safe_read_allowed,opa_derived,1,0,0,0,1,2
skill_unknown_provenance_review,rdf_owl_shacl,1,1,0,0,1,3
skill_unknown_provenance_review,opa_set,1,0,0,0,0,1
skill_unknown_provenance_review,opa_derived,1,0,0,0,1,2
